fish_id,test_name,bin,bin_s,l_saccs,r_saccs,l_saccs_s,r_saccs_s,l_abs,r_abs,l_abs_s,r_abs_s,l_abs_norm,r_abs_norm,l_abs_s_norm,r_abs_s_norm,l_agr,r_agr,l_agr_s,r_agr_s
4,sd,0,0,0,0,0,0,39.02082825,49.69760132,39.02082825,49.69760132,0.620552273,0.330365371,0.334271562,0.216926039,0.003968254,0.011904762,0.003968254,0.011904762
4,sd,10,10,2,2,3,3,34.74171638,37.98948669,63.91277504,71.75201416,0.552501114,0.252535545,0.547508193,0.31319178,0.536,0.64,0.536,0.636
4,sd,20,10,1,1,3,3,29.17105865,33.76252747,63.91277504,71.75201416,0.463910367,0.224436786,0.547508193,0.31319178,0.536,0.632,0.536,0.636
4,sd,30,30,4,3,8,7,52.2321434,103.4656372,96.67156029,174.2518158,0.830653186,0.687789002,0.828136022,0.760595184,0.64,0.832,0.676,0.764
4,sd,40,30,4,4,8,7,44.43941689,70.78617859,96.67156029,174.2518158,0.706724649,0.470551928,0.828136022,0.760595184,0.712,0.696,0.676,0.764
4,sd,50,50,5,5,9,8,62.88080788,150.4322357,116.7339153,229.0992889,1,1,1,1,0.712,0.864,0.702811245,0.815261044
4,sd,60,50,4,3,9,8,53.85310745,78.66705322,116.7339153,229.0992889,0.856431545,0.522940132,1,1,0.693548387,0.766129032,0.702811245,0.815261044
4,sd,70,70,3,3,6,5,54.79211044,124.5604858,105.6711082,194.3135071,0.871364607,0.828017248,0.905230566,0.848162855,0.64,0.784,0.637450199,0.764940239
4,sd,80,70,3,2,6,5,50.8789978,69.75302124,105.6711082,194.3135071,0.809133971,0.463684003,0.905230566,0.848162855,0.634920635,0.746031746,0.637450199,0.764940239
4,sd,90,90,3,3,7,6,58.42353058,126.5395203,112.7570496,202.6245422,0.929115458,0.841172902,0.965932216,0.884439857,0.685483871,0.758064516,0.702811245,0.730923695
4,sd,100,90,4,3,7,6,54.33351898,76.08502197,112.7570496,202.6245422,0.864071579,0.50577605,0.965932216,0.884439857,0.72,0.704,0.702811245,0.730923695
4,wd,0,0,0,1,0,1,55.70540428,49.79260254,55.70540428,49.79260254,0.697986492,0.296343331,0.374802151,0.169648179,0.003984064,0.003984064,0.003984064,0.003984064
4,wd,10,10,4,4,11,10,69.08621979,162.7517395,148.6261597,293.5050812,0.865647577,0.968625662,1,1,0.728,0.816,0.741035857,0.812749004
4,wd,20,10,7,6,11,10,79.53993988,130.7533417,148.6261597,293.5050812,0.996632272,0.77818549,1,1,0.753968254,0.80952381,0.741035857,0.812749004
4,wd,30,30,4,4,8,8,71.79021263,161.6122742,136.981369,258.0438232,0.899528499,0.961844073,0.921650464,0.879180088,0.717741935,0.782258065,0.718875502,0.787148594
